Name,Visited,Stars,Food,WinePairing,Date,Headline,Location,Country,Price,PriceWinePairing,Images,URL,Lat,Lon,GoogleRating,FullAddress,Id
Martín Berasategui,checked,3,5,4,2020-07-18,Original Martín Berasategui restaurant in a lovely little village with a view of a birch grove,"Lasarte, San Sebastian",Spain,EUR 315,EUR 175,15,https://www.martinberasategui.com/en/inicio,43.2668083,-2.0156179,4.8,"Loidi Kalea, 4, 20160 Lasarte-Oria, Gipuzkoa, España",1
Marqués de Riscal,checked,1,3,3,2020-07-24,Rioja region kitchen in a gorgeous Marques de Riscal hotel,Elciego,Spain,EUR 150,EUR 90,13,https://www.restaurantemarquesderiscal.com/en/,42.5115878,-2.6176092,4.5,"C. Torrea Kalea, 1, 01340 Eltziego, Álava, España",2
El Celler de Can Roca,checked,3,4,5,2020-09-06,Roca brothers restaurant with an 11-month upfront reservation,Girona,Spain,EUR 265,EUR 110,27,https://cellercanroca.com/en/,41.9933693,2.8082009,4.8,"Carrer de Can Sunyer, 48, 17007 Girona, España",3
Neolokal,checked,1,4,4,2021-03-31,Contemporary Turkish cusine with the amazing views over Istanbul,Istanbul,Türkiye,EUR 65,EUR 35,0,https://www.neolokal.com/en/neolokal_en/,41.0238362,28.9734027,4.3,"Arapcamii Mahı, Bankalar Cd. No:11, 34420, 34421 Beyoğlu/İstanbul, Türkei",4
Mugaritz,checked,2,2,3,2021-07-06,Costly experimental cuisine in the middle of nowhere,"Errenteria, San Sebastian",Spain,EUR 242,EUR 160,20,https://www.mugaritz.com/en/,43.2723008,-1.9170978,4.0,"Aldura Gunea Aldea, 20, 20100 Errenteria, Gipuzkoa, España",5
Konstantin Filippou,checked,2,4,4,2021-09-24,Seafood-focused restaurant with dark settings in the heart of Vienna,Vienna,Austria,EUR 250,EUR 135,9,https://konstantinfilippou.com/restaurant/,48.2106405,16.3798207,4.5,"Dominikanerbastei 17, 1010 Wien, Austria",6
Lasarte,checked,3,4,3,2021-12-03,Chef Martín Berasategui’s gastronomic vision for Barcelona,Barcelona,Spain,EUR 280,EUR 170,20,https://www.restaurantlasarte.com/en/,41.3936111,2.1619444,4.7,"C/ de Mallorca, 259, 08008 Barcelona, España",7
La Cuina de Can Simón,checked,1,3,,2021-12-25,Family-owned restaurant of Catalan cousine in Costa Brava,Tossa de Mar,Spain,EUR 98,EUR 0,6,https://cuinacansimon.com/,41.7165591,2.9324099,4.7,"Carrer del Portal, 24, 17320 Tossa de Mar, Girona, España",8
Cocina Hermanos Torres,checked,3,5,5,2022-04-23,Huge open kitchen where diners can collaborate with chefs on their own refined tasting menus,Barcelona,Spain,EUR 210,EUR 140,12,https://cocinahermanostorres.com/en/,41.3864798,2.1401248,4.7,"Carrer del Taquígraf Serra, 20, 08029 Barcelona, España",9
La Palme d'Or,checked,2,5,4,2022-05-03,Restaurant in the luxury Hotel Martinez with the ceramics made by the chef and his wife,Cannes,France,EUR 280,EUR 130,21,https://www.lapalmedor-restaurant.fr/michelin-starred-restaurant-la-croisette,43.5483819,7.0308582,4.6,"73 Bd de la Croisette, 06400 Cannes, Francia",10
Ajonegro,checked,1,4,,2022-07-17,Fusion cuisine restaurant where they seek to highlight their own personality and cultures: Mexican and Spanish.,Logroño,Spain,EUR 65,EUR 0,13,https://restauranteajonegro.com/,42.4657989,-2.4459416,4.6,"C. Hermanos Moroy, 1, bajo 9, 26001 Logroño, La Rioja, Spain",11
